A,B,C,D,E,F,G,H,clusters
-2.3053061563426036,-1.2015127856802037,3.620172928365971,6.491250567948435,5.405459500980703,-1.6003989209653045,0.2287165708279947,-2.9759660996217367,6
-1.167533692847677,-2.9063204114735335,3.7155955882077727,6.639286950186224,5.174721375706076,-1.512030042447997,0.39039661404658144,-2.2490082410835903,6
-1.9492709837187523,-1.2187672734751995,3.692828515798011,6.022372280682732,5.428930090075335,-1.9299467054873067,0.07534994447151136,-2.311803253666553,6
-2.5418987455602875,-0.7681024575552878,3.7894726935865095,6.399096225409118,5.165196425446347,-1.467407836986926,0.2544523893985809,-3.0259339372531393,6
-2.5473725514303927,-1.5771862205903575,3.6534039511220806,6.54808535452657,5.713179585254141,-1.7209823710771934,0.18344921357055582,-2.5348175385109757,6
-2.662857785642312,-1.2349893693774687,3.4805906112234593,6.635644257922875,5.570837591524583,-1.5881026423321885,0.18823939206062024,-2.7493002342268826,6
-2.3738797181617803,-1.399284282500663,3.7044811442001353,6.858636779218523,5.584514312225806,-1.5667048150733751,0.47802353188635754,-2.840848498779854,6
-2.053966778885808,-2.28388654827978,3.042439494494114,6.043473073717067,5.122115860902489,-1.6683985670692973,0.12608897636661337,-1.323068323835298,6
-3.5870476081490716,-2.429381878611264,1.9835327690033961,6.584710405788276,5.411711313980632,-1.7749513967685544,0.42299608294397173,-2.781355316162878,6
-2.3536218128597457,-1.2492592490913625,3.509460168870379,6.3008755165921615,5.309747539866124,-1.7897174236980538,0.2686579433501751,-2.774655112960849,6
-2.4308653365327517,-2.197208635058911,2.9298373483867652,6.0015152584117715,5.138074655818283,-2.262323036988668,0.3289312153919825,-1.4047121444514417,6
-2.0984025821257384,-1.4820671940195425,3.478720396594545,6.5982659283869305,5.889082000606252,-1.6835052232417813,0.1331471835477828,-2.4013677616536158,6
-2.0042198437174035,-1.5914341307537774,3.487005864042731,6.1790516427583135,5.683750009319071,-1.922872260914402,0.12370177564790487,-2.235940290433602,6
-2.492559317362559,-1.9860116570818807,3.166026926343183,5.745197176662193,5.339931206893179,-2.5581570969630785,0.16298932506250402,-1.7070620534829284,6
-2.293041067102396,-1.9158083460827504,2.7201408752840486,5.5742424682519855,5.414932919897998,-1.7256140804886293,0.806424569291522,-1.238737111739382,6
-2.631759228285038,-1.6805657826664409,3.2569285712369127,5.753597603202091,5.395293898808292,-2.5881646708991872,0.15611138819767087,-1.738455981919665,6
-2.1018011903192413,-2.2811675344288305,2.9337669195919482,6.01164681052552,5.002790886434874,-2.402552412607802,0.34307078193972473,-1.6501248256024654,6
