,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
10,0.25663242,0.20682399,0.42168704,-0.38472953,0.22751307,-0.2002931,0.027787073,0.06940521,-0.16404891,0.23301026,0.7389457,-0.028845528,-0.019123845,-0.22901115,-0.3481769,0.5236396,-0.7191549,-0.37243032,-0.4231332,0.25229168,0.5938255,0.30611733,-0.3818479,-0.7356233,-0.30898827,0.10209025,-0.22736187,0.11778925,0.107049055,0.1898854,-0.30564392,0.26752657,-0.45063138,-0.31051233,0.17823172,-0.35946888,-0.04278718,0.5452178,-0.29460263,-0.29824644,0.09838361,0.5684504,-0.45219308,0.07300648,0.67854697,0.7512106,-0.18505466,0.045366988,-0.102212586,0.31311205,0.37636226,-0.041398995,-0.08136781,0.540458,0.23555805,0.0023907335,0.15843298,-0.857734,-0.14120209,-0.18847589,-0.1815035,0.10100953,-0.21693131,0.02492996
11,0.33235323,0.22369884,0.50308853,-0.43590838,0.28127807,-0.28793767,0.040480305,0.08288922,-0.19508582,0.21017163,0.82465416,-0.06859527,-0.06573488,-0.2992053,-0.42863193,0.577333,-0.83367175,-0.3868423,-0.47644043,0.2872963,0.6948145,0.3878444,-0.46005067,-0.8418267,-0.34644502,0.13939144,-0.29608804,0.09961949,0.0962949,0.24744658,-0.36058757,0.34264314,-0.5539673,-0.3869417,0.19521585,-0.41444147,-0.06924592,0.67467976,-0.37785473,-0.3620929,0.08025943,0.66928536,-0.5218875,0.121912405,0.81708854,0.90743977,-0.25349942,0.036888096,-0.092498384,0.3346044,0.43487388,-0.06016008,-0.06261628,0.6336928,0.26765656,0.035398252,0.20403938,-0.97357744,-0.20204861,-0.19583358,-0.16617721,0.11435969,-0.25501165,0.034174457
12,0.6765772,0.025414003,0.5226942,-0.2598869,0.28033265,0.44713965,-0.24540272,0.09619942,-0.17699882,0.47264075,0.7466863,0.1700563,0.3564214,-0.43788967,-0.4334169,0.5576694,-0.9460823,-0.6198328,-0.39779425,0.8317178,0.22253726,0.6652792,-0.31671536,-1.1005443,-0.28470865,-0.082437344,0.44073662,0.059437606,-0.29009596,0.098183945,-0.008726615,0.4605399,-0.16832118,-0.2807667,0.65071136,-0.36783922,-0.52059746,0.21443914,0.13305935,-0.2567176,0.12801196,0.21888329,-0.73072207,-0.22225456,0.31248966,0.38115183,-0.07139515,-0.18845154,-0.70581836,0.41782305,0.73115885,0.08943157,-0.5704021,0.3879421,0.32030892,-0.39166403,-0.011786444,-0.77925664,-0.051935703,-0.1584158,-0.45048082,-0.10141485,-0.718738,-0.26471397
13,0.2704652,0.16685864,0.37491485,-0.34125113,0.21360138,-0.15110287,0.016625876,0.057378016,-0.11068208,0.16333672,0.6490634,-0.016680641,0.023829812,-0.1905577,-0.2793395,0.45228165,-0.6549261,-0.3298749,-0.34719884,0.22936606,0.47832695,0.2878535,-0.3528951,-0.6377776,-0.27583155,0.10382404,-0.18321492,0.09522064,0.050496522,0.17600317,-0.27438205,0.26810196,-0.40997565,-0.2933784,0.13127996,-0.29063997,-0.059011362,0.4995627,-0.24845932,-0.26800767,0.06615545,0.46848524,-0.41893882,0.067505054,0.63347787,0.6694625,-0.14416946,0.03275902,-0.1548385,0.288178,0.31807303,-0.040224038,-0.11929563,0.48267025,0.22424516,-0.008953279,0.12547329,-0.7250088,-0.13576719,-0.16674985,-0.14937502,0.09134011,-0.20618564,0.009055464
14,0.53512615,0.085545175,0.45147192,-0.22954483,0.24875267,0.33157453,-0.1484021,0.07006575,-0.1035732,0.3356214,0.6670902,0.14192474,0.29058984,-0.3251447,-0.36272222,0.47742328,-0.819625,-0.5213615,-0.3291867,0.6443702,0.24485601,0.53239775,-0.30849162,-0.90325457,-0.30933583,-0.07901231,0.34238878,0.12334778,-0.17845124,0.10113418,-0.031886116,0.36399704,-0.20779297,-0.2241684,0.52953637,-0.3225254,-0.39226288,0.23505636,0.07947781,-0.2416901,0.10493173,0.21292414,-0.62219715,-0.17687416,0.31488752,0.40943608,-0.07500109,-0.15041919,-0.5707371,0.3513204,0.57821745,0.06638123,-0.47034356,0.38931674,0.29789892,-0.26430875,0.015367303,-0.72043675,-0.05450659,-0.14651127,-0.34062275,-0.050625347,-0.5175073,-0.216222
15,0.5940732,0.25904673,0.5571736,-0.30838752,0.25997707,0.29510808,-0.15435643,-0.022335041,-0.01209526,0.19946776,0.8885383,0.28950462,0.44283855,-0.29798874,-0.4537753,0.6136726,-0.991612,-0.573031,-0.41512197,0.7607167,0.31848484,0.73583174,-0.38036114,-1.0530828,-0.5483939,-0.05082831,0.4322022,0.3722011,-0.1459048,0.106578805,-0.036935255,0.46168226,-0.3120507,-0.20004769,0.6159319,-0.26292577,-0.3963425,0.39127064,0.08870828,-0.29430735,0.27202296,0.20352145,-0.7639426,-0.33756492,0.3097865,0.6010994,-0.0985745,-0.230716,-0.66168153,0.43240434,0.61131626,0.08632965,-0.7228661,0.69272745,0.3706707,-0.24116047,-0.051454686,-0.83680904,-0.13777971,-0.18414912,-0.44102162,-0.091121316,-0.409997,-0.33070493
16,0.58968663,0.03387816,0.46005896,-0.2723578,0.2686805,0.3955325,-0.22142537,0.10806417,-0.13192226,0.44162405,0.68939465,0.1807376,0.2929368,-0.3837982,-0.38785,0.50285876,-0.8500377,-0.5869548,-0.3837171,0.7052204,0.23929973,0.58356625,-0.32030743,-1.0294229,-0.2831254,-0.074172884,0.42020458,0.0685032,-0.24690342,0.071100324,-0.008102917,0.43800604,-0.15566725,-0.23484959,0.5814898,-0.38970512,-0.4616748,0.23131189,0.11097892,-0.23918562,0.08873724,0.20647249,-0.6763158,-0.19325665,0.3399625,0.39283714,-0.054958966,-0.15689102,-0.67103344,0.39361283,0.6574814,0.039664492,-0.5547926,0.39731008,0.3032512,-0.3115763,0.014900696,-0.72218597,-0.02852455,-0.16991153,-0.3993368,-0.09116321,-0.60552824,-0.23180899
17,0.34511068,0.24798322,0.5519721,-0.5411211,0.27013808,-0.29809955,0.0379032,0.101767436,-0.19702014,0.24643068,1.010055,-0.092116244,0.030263571,-0.39564893,-0.4793375,0.741844,-0.9898525,-0.43201095,-0.5691518,0.30853817,0.7932166,0.43098703,-0.5115102,-0.95872366,-0.36779958,0.18402137,-0.4094532,0.15626827,0.19071706,0.25518227,-0.3990874,0.40147287,-0.6679229,-0.42990705,0.21081975,-0.51121646,-0.06422686,0.7702637,-0.3644206,-0.33487296,0.090125464,0.720556,-0.53578144,0.057674654,0.94655645,1.0345666,-0.2375385,0.028164975,-0.112628974,0.48001418,0.5081068,-0.10203444,-0.13919266,0.7029987,0.29513612,0.01009235,0.21195121,-1.1067996,-0.24418338,-0.2074032,-0.16953672,0.12377197,-0.35461882,0.042843185
18,0.20549971,0.18972409,0.30359945,-0.3402431,0.21730435,-0.07874151,-0.001379777,0.07003108,-0.11663264,0.2503915,0.6743045,-0.011765436,0.039209776,-0.17613946,-0.32168898,0.46685943,-0.68002194,-0.35617134,-0.35308042,0.24028003,0.5124727,0.26942304,-0.370204,-0.602595,-0.24446946,0.055295784,-0.140429,0.13601336,0.08764372,0.1555115,-0.23492323,0.19711293,-0.3594767,-0.24989225,0.16779605,-0.2799951,-0.029355688,0.46026486,-0.24321966,-0.24100795,0.09240075,0.44267288,-0.4192698,0.0046668784,0.60908407,0.6416676,-0.12028181,0.06147464,-0.13083714,0.25709847,0.305643,-0.049013697,-0.12304374,0.48161885,0.2229318,-0.08159967,0.12167824,-0.772141,-0.06772712,-0.19983941,-0.19071381,0.056532588,-0.19555943,-0.038566366
19,0.34217274,0.3482633,0.56415045,-0.41164482,0.19301601,-0.027607745,0.045647867,0.003938961,-0.03557709,0.073510416,0.8498976,0.22839421,0.4632407,-0.14647134,-0.5544322,0.6310178,-0.9306213,-0.5597828,-0.48913202,0.56430566,0.5866477,0.6173026,-0.31998572,-1.0779558,-0.5012876,-0.030413326,0.11123951,0.42573082,-0.023703706,0.16834053,-0.22485143,0.38426384,-0.31600672,-0.33544463,0.38973257,-0.3311546,-0.07316179,0.6122467,-0.060061615,-0.38999617,0.3180713,0.2848307,-0.5704301,-0.18035199,0.4431658,0.79842633,-0.14814577,-0.12747118,-0.46311572,0.405503,0.5674608,-0.020636426,-0.7074853,0.76600146,0.3077123,-0.13540879,-0.039539825,-0.86397165,-0.16609882,-0.15401407,-0.49591875,0.065999344,-0.11143795,-0.196184
